from_node_id,to_node_id,link_id,length,directed,name,zone_id,capacity_scaling_factor,area_type,lanes,raw_capacity,speed,ftype,capacity,GEOMETRYSO,GEOMETRY_1,GEOMETRY_2,GEOMETRY_3,TL23_2032,TRN_2023
1,2070,1_2070,0.63722,0,,1,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
2,2071,2_2071,0.72331,0,,2,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
3,1171,3_1171,1.29217,0,,22,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
3,2069,3_2069,0.94732,0,,2,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
4,1994,4_1994,0.39404,0,,4,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
5,2032,5_2032,0.40198,0,,5,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
6,1988,6_1988,0.47506,0,,6,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
6,1994,6_1994,0.37671,0,,6,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
7,1170,7_1170,0.27625,0,,7,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
8,1170,8_1170,0.25675,0,,8,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
9,1171,9_1171,0.22326,0,,9,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
10,2064,10_2064,0.51043,0,,10,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
11,1021,11_1021,0.25049,0,,11,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
12,1021,12_1021,0.2658,0,,12,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
13,2066,13_2066,0.42472,0,,13,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
14,2064,14_2064,0.55137,0,,14,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
15,1177,15_1177,0.24909,0,,15,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
16,1177,16_1177,0.32649,0,,16,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
17,2530,17_2530,0.34641,0,,17,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
18,1559,18_1559,0.49985,0,,18,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
18,1805,18_1805,0.28592,0,,18,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
19,1559,19_1559,0.50479,0,,19,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
19,1777,19_1777,0.50935,0,,19,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
19,1804,19_1804,0.2851,0,,19,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
20,1777,20_1777,0.50027,0,,20,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
20,1812,20_1812,0.28372,0,,20,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
21,1785,21_1785,0.28829,0,,21,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
21,1993,21_1993,0.62811,0,,21,1,Rural,0,,35,Centroid Connector,0,1,1,1,1,0,0
22,1164,22_1164,0.56417,0,,22,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
23,1185,23_1185,0.50844,0,,23,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
23,1791,23_1791,0.49806,0,,23,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
23,1800,23_1800,0.50277,0,,23,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
23,1805,23_1805,0.50988,0,,23,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
24,1194,24_1194,0.50612,0,,24,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
24,1722,24_1722,0.50687,0,,24,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
24,1800,24_1800,0.50165,0,,24,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
24,1804,24_1804,0.50572,0,,24,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
25,1722,25_1722,0.49879,0,,25,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
25,1812,25_1812,0.50158,0,,25,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
25,2038,25_2038,0.50602,0,,25,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
25,2089,25_2089,0.50287,0,,25,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
26,2038,26_2038,0.24757,0,,25,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
26,2531,26_2531,0.26361,0,,26,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
27,2531,27_2531,0.39121,0,,27,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
28,1164,28_1164,0.45623,0,,28,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
28,2072,28_2072,0.39145,0,,28,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
29,1185,29_1185,0.50184,0,,29,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
29,2072,29_2072,0.50131,0,,29,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
29,2079,29_2079,0.50232,0,,29,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
30,1194,30_1194,0.49958,0,,30,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
30,2080,30_2080,0.49909,0,,30,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
30,2082,30_2082,0.5011,0,,30,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
31,2086,31_2086,0.50226,0,,31,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
31,2089,31_2089,0.50089,0,,31,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
31,2090,31_2090,0.5052,0,,31,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
31,2096,31_2096,0.5011,0,,31,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
32,1787,32_1787,0.50249,0,,32,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
32,2090,32_2090,0.4973,0,,32,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
32,2111,32_2111,0.49955,0,,32,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
32,2122,32_2122,0.5045,0,,32,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
33,1502,33_1502,0.49864,0,,33,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
34,1200,34_1200,1.11056,0,,35,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
34,2067,34_2067,0.73916,0,,13,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
35,2109,35_2109,0.25585,0,,35,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
36,1199,36_1199,0.50256,0,,36,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
36,2079,36_2079,0.49962,0,,36,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
36,2109,36_2109,0.50366,0,,36,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
37,1199,37_1199,0.50108,0,,37,1,Rural,7,10000,35,Centroid Connector,10000,1,1,1,1,0,0
