N,X,Y,TAZID,EXTERNAL,PNR_2015,PNR_2019,PNR_2024,PNR_2030,PNR_2040,PNR_2050,PNR_2030UF,PNR_2040UF,PNR_2050UF,GEOMETRYSO,GEOMETRY_1
"1",420112.62758,4649422.02935,"1","0","0","0","0","0","0","0","0","0","0","1","1"
"2",421423.81005,4648646.33099,"2","0","0","0","0","0","0","0","0","0","0","1","1"
"3",422355.41533,4649543.99472,"3","0","0","0","0","0","0","0","0","0","0","1","1"
"4",419600.99329,4648144.08467,"4","0","0","0","0","0","0","0","0","0","0","1","1"
"5",420521.54826,4648139.30934,"5","0","0","0","0","0","0","0","0","0","0","1","1"
"6",419528.89491,4646906.44410,"6","0","0","0","0","0","0","0","0","0","0","1","1"
"7",420505.38138,4646903.60369,"7","0","0","0","0","0","0","0","0","0","0","1","1"
"8",421358.51059,4646876.04547,"8","0","0","0","0","0","0","0","0","0","0","1","1"
"9",422149.95490,4647115.02396,"9","0","0","0","0","0","0","0","0","0","0","1","1"
"10",419612.10924,4645712.81656,"10","0","0","0","0","0","0","0","0","0","0","1","1"
"11",420541.61534,4645675.06989,"11","0","0","0","0","0","0","0","0","0","0","1","1"
"12",421338.47901,4645826.76265,"12","0","0","0","0","0","0","0","0","0","0","1","1"
"13",422270.54942,4646147.52132,"13","0","0","0","0","0","0","0","0","0","0","1","1"
"14",419725.12812,4644300.30155,"14","0","0","0","0","0","0","0","0","0","0","1","1"
"15",420541.60599,4644262.43073,"15","0","0","0","0","0","0","0","0","0","0","1","1"
"16",421457.61332,4644330.25401,"16","0","0","0","0","0","0","0","0","0","0","1","1"
"17",423618.04952,4649562.97202,"17","0","0","0","0","0","0","0","0","0","0","1","1"
"18",424975.06722,4649555.64132,"18","0","0","0","0","0","0","0","0","0","0","1","1"
"19",426591.17481,4649543.00652,"19","0","0","0","0","0","0","0","0","0","0","1","1"
"20",428215.18878,4649528.68474,"20","0","0","0","0","0","0","0","0","0","0","1","1"
"21",429926.20211,4649517.99895,"21","0","0","0","0","0","0","0","0","0","0","1","1"
